test_id,category,phase,persona,risk,precondition,action,expected_result,automation,source_basis
ID-023,partial_identity,M2,tracker_migrant,high,Import row has duplicate title but distinct source IDs.,Import both.,Fasti preserves two source records unless exact accepted evidence joins them.,automated,negative identity lessons
ID-024,partial_identity,M3,provider_author,medium,Provider emits a new external alias field.,Normalize response.,Adapter creates a candidate assertion with acquisition route; no model migration or direct merge occurs.,contract,provider SDK
ID-025,partial_identity,M3,support_engineer,medium,Enrichment found no counterpart in one namespace.,Persist known absence.,Fasti avoids repeated fruitless lookup until reason/version expires or changes.,automated,Electric-Town known absent
ID-026,partial_identity,M3,support_engineer,medium,Known absence was based on stale source version.,Install newer source snapshot.,Policy may reopen the lookup with an auditable reason.,automated,versioned evidence
ID-027,partial_identity,M3,household_owner,high,No metadata provider is configured.,Record and view a custom local item.,"Title, notes, tags, history and export work; missing art/URL is a valid empty state.",manual,empty state
ID-028,partial_identity,M3,api_developer,high,Entity is unresolved.,Call identity resolve for tracker_write.,"API fails closed with known IDs, safe state, next actions and doc URL.",automated,purpose resolver
ID-029,partial_identity,M3,api_developer,medium,Same unresolved entity has an IMDb alias.,Call identity resolve for metadata_lookup.,API returns an allowed lookup route and marks its purpose and lossiness.,automated,read alias versus write route
ID-030,partial_identity,M3,support_engineer,high,Several enrichment routes form a cycle.,Run resolver.,Traversal is bounded and cycle-safe; trace explains skipped path.,property,graph safety
ID-031,topology,M0,anime_mapper,critical,One anime release maps to part of TVDB season 3.,Validate range with offset.,"Coverage preserves source range, target season and non-zero offset.",automated,Electric-Town range/offset
ID-032,topology,M0,anime_mapper,critical,One release spans two target seasons.,Validate mapping.,Two coverage segments survive without flattening.,automated,Electric-Town cross-boundary
ID-033,topology,M0,anime_mapper,critical,One release maps to non-adjacent target ranges.,Validate mapping.,Discontinuous coverage is represented explicitly.,automated,Electric-Town discontinuity
ID-034,topology,M0,anime_mapper,critical,One source episode equals two target episodes.,Validate explicit segment link.,Link kind expands is accepted and round-trip loss is declared.,automated,Electric-Town cardinality expand
ID-035,topology,M0,anime_mapper,critical,Two source episodes form one target episode.,Validate explicit segment link.,Link kind merges is accepted and no 1:1 approximation occurs.,automated,Electric-Town cardinality merge
ID-036,topology,M0,anime_mapper,critical,A target segment has no source counterpart.,Validate absent link with reason.,Known absence is represented; resolver does not invent a segment.,automated,Electric-Town known absent
ID-037,topology,M0,anime_mapper,critical,Regular episode 1 and special 1 coexist.,Resolve coordinates.,Numbering spaces keep them distinct.,automated,Electric-Town numbering space
ID-038,topology,M0,anime_mapper,critical,Target exposes season and absolute order.,Store mapping.,Both coordinate spaces are retained and selectable by intent.,automated,Electric-Town dual numbering
ID-039,topology,M0,anime_mapper,high,Broadcast order differs from intended order.,Store ordering assertion.,Ordering variance is explicit and does not redefine identity.,automated,Electric-Town ordering variance
ID-040,topology,M0,anime_mapper,critical,Two works share a normalized title.,Add not_same_as assertion.,"Deduplication never joins them, including later imports.",automated,Electric-Town negative assertion
ID-041,topology,M0,video_user,high,Theatrical and extended cuts exist.,Attach alternate_cut_of.,They remain separate entities with a relation and separate history.,automated,Electric-Town alternate cut
ID-042,topology,M0,anime_mapper,medium,One recap film belongs to two series groupings.,Store grouping relations.,One release can belong to multiple groupings without duplication.,automated,Electric-Town multi-series
ID-043,topology,M0,anime_mapper,critical,MAL splits specials while AniDB groups them.,Import both topologies.,Fasti represents one-to-many assertions rather than forcing aliases.,automated,AnimeAPI #11
ID-044,topology,M0,anime_mapper,critical,AniList splits a mini anime into parts while MAL merges it.,Import relationship.,Fasti preserves separate releases and scoped coverage.,automated,AnimeAPI #11
ID-045,topology,M0,anime_mapper,critical,TMDB inserts a recap into the target order.,Translate segments.,Explicit links preserve the discontinuity; simple offset is rejected.,automated,AnimeAPI #11
ID-046,topology,M0,anime_mapper,high,Provider moves an episode to another season.,Install updated assertion.,New future resolution can change after review; old occurrence interpretation stays pinned.,automated,mapping version safety
ID-047,topology,M4,mapping_maintainer,high,Mapping source supplies ratio-based relationship.,Normalize mapping.,Ratio is preserved only for compatible intent; exact write fails if individual segment cannot be resolved.,automated,AniBridge capability
ID-048,topology,M4,mapping_maintainer,high,Mapping chain has two sources with same derivation root.,Compute corroboration.,Fasti does not count them as independent evidence.,automated,Electric-Town derivation root
ID-049,topology,M4,mapping_maintainer,high,Mapping target identifier no longer exists.,Stage bundle.,Impact report flags stale target and blocks automatic activation for that assertion.,automated,AnimeAPI/AniBridge risk
ID-050,topology,M4,mapping_maintainer,critical,Bundle proposes a transitive merge through related edges.,Validate policy.,Related edges never participate in identity merge closure.,property,typed relations
ID-051,interpretation,M1,player_user,critical,Player reports local file and progress but no provider ID.,Record observation.,"Original file/path fingerprint, device, time and progress are stored; occurrence can remain unresolved.",automated,observation separation
ID-052,interpretation,M2,tracker_migrant,critical,Occurrence was initially interpreted as wrong episode.,Correct interpretation.,New interpretation is added; original observation and prior interpretation remain auditable.,automated,history correction
ID-053,interpretation,M4,anime_specialist,critical,Mapping bundle changes episode candidate.,Activate bundle.,Existing occurrence does not move automatically.,automated,Floppy #652
ID-054,interpretation,M4,anime_specialist,high,User chooses to reinterpret one occurrence.,Apply bounded decision.,Only selected occurrence changes current interpretation.,manual+automated,identity decision
ID-055,interpretation,M4,anime_specialist,critical,User previews bulk reinterpretation.,Cancel preview.,No interpretations or assertions change.,automated,reconciliation safety
ID-056,interpretation,M4,support_engineer,high,Bulk reinterpretation was applied.,Roll back decision.,Prior current interpretations become active again; audit remains.,automated,rollback
ID-057,interpretation,M5,multi_device_user,critical,Same operation is retried after timeout.,Replay operation ID and digest.,Server returns original receipt and does not create a second occurrence.,chaos,retry is not rewatch
ID-058,interpretation,M5,multi_device_user,critical,User genuinely watches same item twice.,Submit distinct occurrence IDs and session evidence.,Two occurrences remain.,automated,rewatch semantics
ID-059,interpretation,M5,multi_device_user,critical,Two devices use same event ID with different payload digest.,Push both.,Conflict is rejected and logged; no ambiguous mutation occurs.,automated,idempotency digest
ID-060,interpretation,M1,privacy_engineer,high,Private profile has occurrence interpretation.,Query from another profile without grant.,Request is denied without revealing identity details.,security,multi-user isolation
ID-061,interpretation,M1,support_engineer,medium,User exports a support case.,Create redacted identity case report.,Report includes decision trace and safe IDs but excludes secrets and unrelated history.,automated,KCS/privacy
ID-062,interpretation,M1,backup_owner,critical,Occurrence has three interpretation versions.,Backup and restore.,"All versions, actor, reason and current pointer survive.",automated,restore equivalence
ID-063,metadata_claims,M3,metadata_user,high,TMDB and TVDB have different titles.,Fetch both.,"Two field claims are stored with source, locale, retrieval and validity; projection policy selects one.",contract,field-level claims
ID-064,metadata_claims,M3,metadata_user,high,User edits displayed title.,Save override.,User override wins until cleared and provider refresh does not overwrite it.,automated,user-owned metadata
ID-065,metadata_claims,M3,metadata_user,medium,Preferred claim expires.,Open record offline.,Last-known-good claim displays as stale with source and age.,manual+automated,offline cache
ID-066,metadata_claims,M3,metadata_user,high,Provider returns empty title after prior success.,Refresh.,Empty result does not erase valid prior claim unless source explicitly declares deletion and policy accepts it.,automated,absence not deletion
ID-067,metadata_claims,M3,book_user,medium,Google Books offers localized edition absent from Open Library.,Add provider and search.,Edition candidate and localized claims enter through the same provider contract.,contract,Floppy #860
ID-068,metadata_claims,M3,book_user,high,ISBN edition is attached to a work.,Resolve identity.,Fasti keeps edition and work distinct and does not treat ISBN as work identity.,automated,Open Library work/edition
ID-069,metadata_claims,M3,music_user,high,MusicBrainz recording appears on two releases.,Import metadata.,One recording relation can connect to multiple release tracks without collapsing releases.,automated,MusicBrainz
ID-070,metadata_claims,M3,podcast_user,high,Podcast feed URL changes but GUID is stable.,Refresh feed.,Fasti updates URL observation and retains stable podcast identity.,automated,Podcasting 2.0
ID-071,metadata_claims,M3,game_user,high,Game has Steam and GOG products.,Attach both.,Fasti keeps one work with provider-specific releases/products and user-selected metadata projection.,automated,IGDB/GOG
ID-072,metadata_claims,M3,metadata_user,medium,Cache policy is only-save-library.,"Browse 1,000 search results.",Unselected results do not grow persistent canonical metadata beyond bounded transient cache.,performance,cache requirement
ID-073,metadata_claims,M3,metadata_user,medium,User clears one provider cache.,Execute context action.,Disposable claims/cache are cleared or marked for refresh; canonical user state and other provider claims remain.,automated,context action
ID-074,metadata_claims,M3,metadata_user,medium,User requests metadata dump.,Export normalized diagnostic.,"Output shows claims, provenance, cache state and redacts secrets.",automated,diagnostics
ID-075,custom_fields,M6,custom_type_owner,high,No concert record type exists.,Define concert type with explicit completion and no progress.,Generated API/UI accepts valid records and rejects video-only fields.,contract,custom types
ID-076,custom_fields,M6,game_user,high,Game type lacks GOG product ID.,Define identity field bound to registered GOG namespace.,Field can resolve and filter without becoming canonical Fasti ID.,contract,user requirement
ID-077,custom_fields,M6,custom_type_owner,high,User creates ordinary text field named provider_id.,Try to enable automatic matching.,Fasti blocks identity use until a namespace is registered.,automated,custom identity governance
ID-078,custom_fields,M6,custom_type_owner,medium,Field is multi-valued tag with filterable true.,Save values.,Validated values are stored and bounded derived index is updated.,automated,typed fields
ID-079,custom_fields,M6,custom_type_owner,high,Field schema changes from integer to string.,Publish new version.,Migration preview reports affected values and old version remains readable until applied.,automated,schema versioning
ID-080,custom_fields,M6,performance_engineer,high,User marks 500 custom fields filterable.,Validate definition set.,Index budget blocks unsafe configuration with exact storage guidance.,performance,bounded indexes
ID-081,custom_fields,M6,api_developer,medium,Custom field is added.,Regenerate contracts.,"JSON Schema, OpenAPI, capability docs and UI form metadata update from one definition.",automated,docs/contracts
ID-082,custom_fields,M6,custom_type_owner,medium,Add-on contributing field is removed.,Disable add-on.,Stored values remain preserved and visible as inactive/unsupported; no silent deletion.,automated,extension lifecycle
ID-083,custom_fields,M6,privacy_engineer,high,Custom field is marked sensitive.,Export normal archive and diagnostics.,Archive follows explicit inclusion policy; diagnostics redact value.,security,privacy
ID-084,custom_fields,M6,custom_type_owner,high,Two custom namespaces use same display alias.,Register second.,Stable namespace IDs remain distinct and UI asks for qualified selection.,automated,namespace collision
ID-085,migration,M2,tracker_migrant,critical,Floppy database contains duplicate provider rows with shared history.,Preview import.,Fasti reports candidates and preserves every history occurrence; no title merge.,migration,Floppy identity history
ID-086,migration,M2,tracker_migrant,critical,Source import crashes halfway.,Restart job.,Job resumes from checkpoint and already accepted rows are not duplicated.,chaos,resumable import
ID-087,migration,M2,tracker_migrant,high,Same archive is imported twice.,Run second import.,Rows are reused/idempotent and report shows no false rewatches.,automated,idempotent import
ID-088,migration,M2,tracker_migrant,critical,Source row is malformed but contains useful raw identifiers.,Import.,"Row is classified invalid_source_record, safely preserved where policy permits, and does not block other rows.",automated,classification
ID-089,migration,M2,tracker_migrant,high,Source row references deleted provider ID.,Import.,Fasti records stale external identity and seeks alternates without deleting source history.,automated,provider lifecycle
ID-090,migration,M2,tracker_migrant,critical,Source has three legitimate rewatch timestamps.,Import.,Three occurrences remain with original timestamps and source provenance.,automated,rewatch preservation
ID-091,migration,M2,tracker_migrant,critical,Source has one watched flag but no occurrence timestamp.,Import.,Watched state is preserved separately; Fasti does not invent a timestamped occurrence.,automated,state separation
ID-092,migration,M2,backup_owner,critical,Archive includes unresolved assertions and known absence.,Restore.,Unresolved and known-absence states survive exactly.,automated,portable archive
ID-093,migration,M2,tracker_migrant,high,User cancels before apply.,Exit preview.,No canonical state is changed and temporary files follow retention policy.,automated,safe preview
ID-094,migration,M2,tracker_migrant,critical,Applied import is wrong.,Restore pre-import checkpoint.,Canonical state returns to pre-import equivalence and audit records rollback.,automated,rollback
ID-095,sync_offline,M5,multi_device_user,critical,Device is offline.,Record occurrence locally.,Occurrence and outbox operation persist immediately; UI says local and pending.,chaos,local-first
ID-096,sync_offline,M5,multi_device_user,critical,Network returns after days.,Push outbox.,"Operations are accepted once, ordered, and receipts clear only committed items.",chaos,sync contract
ID-097,sync_offline,M5,multi_device_user,critical,Cursor has expired.,Pull changes.,Server returns stable cursor_expired and client rebuilds from snapshot without losing local unacknowledged writes.,chaos,snapshot/delta
ID-098,sync_offline,M5,multi_device_user,critical,Remote page includes deletion tombstone.,Apply page.,Tombstone is committed with page and cursor; absence elsewhere does not delete data.,automated,explicit deletion
ID-099,sync_offline,M5,multi_device_user,critical,Client crashes after state apply before cursor save.,Restart.,Page replays idempotently and cursor advances after commit.,chaos,atomic page apply
ID-100,sync_offline,M5,multi_device_user,critical,Two profiles use same device.,Submit operations with explicit profile.,Authorization and state attribution remain profile-specific.,security,multi-user
ID-101,sync_offline,M5,multi_device_user,high,User revokes device while it is offline.,Device reconnects.,New operations are rejected; prior accepted history remains.,security,device revocation
ID-102,sync_offline,M5,mobile_user,high,OS suspends app with pending outbox.,Resume later.,Outbox survives and retries without requiring app to remain foregrounded continuously.,mobile,mobile reliability
ID-103,sync_offline,M5,player_user,medium,WebTransport unavailable behind proxy.,Connect client.,Capability negotiation selects WebSocket/HTTP fallback with identical durable semantics.,integration,transport fallback
ID-104,sync_offline,M5,player_user,medium,Progress hint datagram is dropped.,Send final checkpoint on reliable channel.,Durable resume state uses reliable checkpoint; lost hint does not corrupt history.,integration,WebTransport channels
ID-105,security,M3,security_engineer,critical,Provider URL resolves to loopback.,Test connection.,Governed Network Boundary blocks request before any credential is sent.,security,SSRF
ID-106,security,M3,security_engineer,critical,Allowed URL redirects to cloud metadata IP.,Fetch.,Redirect destination is revalidated and blocked.,security,SSRF redirect
ID-107,security,M4,security_engineer,critical,Bundle signature is invalid.,Stage bundle.,Bundle is rejected and no assertions enter candidate set.,security,supply chain
ID-108,security,M4,security_engineer,high,Bundle has pathological segment fan-out.,Validate bundle.,Schema/resource limit rejects it with source and path.,security,parser limits
ID-109,security,M3,privacy_engineer,high,Provider configured URL contains secret token.,Log cache and error.,"Raw URL/token does not appear in logs, cache keys, metrics or normal export.",security,secret safety
ID-110,security,M6,connection_author,critical,Declarative API Connection tries arbitrary script.,Validate configuration.,Script is rejected; only approved transforms are permitted.,security,connection boundary
ID-111,security,M6,mcp_user,critical,MCP client requests bulk entity merge.,Invoke tool without privileged scope/confirmation.,Operation is unavailable or denied; no direct SQL path exists.,security,MCP scope
ID-112,security,M5,household_owner,critical,User from workspace A guesses entity ID from workspace B.,Read entity.,Authorization returns not found/denied without cross-workspace metadata leak.,security,object isolation
ID-113,security,M3,provider_author,high,Provider returns JSON beyond depth/size limit.,Fetch claims.,"Response is rejected atomically, source health records safe error and prior claims remain.",security,input limits
ID-114,security,M6,mqtt_user,high,MQTT QoS 1 command is delivered twice.,Process both messages.,Application operation ID deduplicates; one canonical mutation exists.,integration,MQTT semantics
ID-115,accessibility,M4,audhd_user,high,Reconciliation queue has one case.,Complete with keyboard only.,"All evidence, compare and decision controls are reachable with stable focus.",manual,A11y
ID-116,accessibility,M4,screen_reader_user,high,Candidate states use icons/colors.,Read page with screen reader.,"Exact, candidate, disputed and stale states have text names and descriptions.",manual,A11y
ID-117,accessibility,M2,audhd_user,high,Import review is interrupted.,Return later.,"Job, filter, selected row and decision checkpoint resume.",manual,AuDHD
ID-118,accessibility,M4,audhd_user,medium,No reconciliation cases exist.,Open queue.,"Empty state explains purpose, safety and when a case will appear.",manual,empty state
ID-119,accessibility,M3,household_owner,medium,No provider or artwork exists.,Open record.,"Local title, notes, actions and state render without broken image or required URL.",manual,empty state
ID-120,accessibility,M4,audhd_user,high,Candidate view shows evidence.,Use default view.,Outcome and consequence appear first; full provenance is expandable and not hidden.,manual,progressive disclosure
ID-121,accessibility,M4,audhd_user,medium,User enables reduced motion.,Open topology compare.,No animated graph or essential motion occurs.,manual,reduced motion
ID-122,developer_experience,M3,provider_author,high,Fresh checkout with toolchain installed.,Run provider scaffold and example fixture.,First validated provider response succeeds in target time with one documented command sequence.,manual+automated,gstack DX
ID-123,developer_experience,M3,provider_author,high,Manifest has invalid namespace path.,Run conformance.,"Error states exact path, expected value, actual value, fix, doc URL and replay command.",automated,DX error quality
ID-124,developer_experience,M3,api_developer,medium,OpenAPI client is generated.,Call identity resolve example.,Generated SDK uses stable operation ID and typed error model.,automated,API-first
ID-125,developer_experience,M4,mapping_maintainer,medium,Conformance fixture is rejected.,Run validator.,Output names lost capability and why naive format breaks.,automated,Electric-Town conformance method
ID-126,developer_experience,M3,support_engineer,medium,User supplies an error code.,Open knowledge URL offline.,"Current KCS unit explains symptom, safe state, cause, recovery and verification.",manual+automated,KCS/OKF
